Colegio,Total Sesiones Estimadas (Abr-Jun 15),Soportes Requeridos,Sesiones Exitosas (Sin Soporte),Indicador Q-07 Autonomía (%)
Colegio Eduardo Santos,154,6,148,96.1
Colegio Los Comuneros,154,6,148,96.1
Colegio El Salitre Suba,154,5,149,96.75
Colegio Santa Lucia,154,4,150,97.4
Colegio Atanasio Girardot,154,4,150,97.4
Colegio Manuel Cepeda,154,4,150,97.4
Colegio Nuevo Horizonte,154,4,150,97.4
Colegio Marco Tulio,154,3,151,98.05
Colegio Ciudad de Villavicencio,154,3,151,98.05
Colegio Antonio García,154,2,152,98.7
Colegio Gustavo Morales Morales,154,2,152,98.7
Colegio Rodrigo Lara Bonilla Sede A,154,1,153,99.35
Colegio Manuela Beltran,154,1,153,99.35
Colegio Costa Rica Sede B,154,1,153,99.35
Colegio Virginia Gutierrez de Pineda (IED),154,1,153,99.35
Colegio La joya,154,1,153,99.35
Colegio Moralba Suroriental Sede A,154,1,153,99.35
Colegio José Manuel Restrepo,154,0,154,100.0
Colegio Ext Camilo Torres,154,0,154,100.0
Colegio Paraíso Mirador,154,0,154,100.0
Colegio Rural Pasquilla,154,0,154,100.0
Colegio Liceo Nacional  Agustín Nieto Caballero,154,0,154,100.0
Colegio San francisco de Asis,154,0,154,100.0
Colegio Sorrento,154,0,154,100.0
Colegio Rodrigo Lara Bonilla Sede B,154,0,154,100.0
Colegio Villamar,154,0,154,100.0
Colegio La Estrella del Sur,154,0,154,100.0
Colegio Union Europea,154,0,154,100.0
Colegio Monteverde,154,0,154,100.0
Colegio Antonia Santos,154,0,154,100.0
